"positive","apple","Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is"
"positive","apple","@Apple will be adding more carrier support to the iPhone 4S (just announced)"
"positive","apple","Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY"
"positive","apple","@RIM you made it too easy for me to switch to @Apple iPhone. See ya!"
"positive","apple","I just realized that the reason I got into twitter was ios5 thanks @apple"
"positive","apple","I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone"
"positive","apple","The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace"
"positive","apple","Great up close & personal event @Apple tonight in Regent St store!"
"positive","apple","From which companies do you experience the best customer service aside from @zappos and @apple?"
"positive","apple","Just apply for a job at @Apple, hope they call me lol"
"positive","apple","RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ..."
"positive","apple","Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol"
"positive","apple","RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
"positive","apple","Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple"
"positive","apple","Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
"positive","apple","你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  "
"positive","apple","Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”"
"positive","apple","Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry."
"positive","apple","Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards"
"positive","apple","Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty."
"positive","apple","@DailyDealChat @apple Thanks!!"
